country,year,song_title,artist,rank
China,2018,模特,Ronghao Li,1
China,2018,刚好遇见你,Li Yugang,2
China,2018,我們不一樣,Da Zhuang,3
China,2018,演員,Joker Xue,4
China,2018,帥到分手,NICKTHEREAL,5
China,2018,火星人來過 - 火星情報局2主題曲,Joker Xue,6
China,2018,如果 What if I said,Lu Han,7
China,2018,很堅強,Gin Lee,8
China,2018,如果沒有他你還愛我嗎 (Would You Love Me),六哲,9
China,2018,被傷過的心還可以愛誰 (From the Bottom of My Broken Heart),六哲,10
China,2018,錯措錯 (Wrong),"六哲, 陳娟兒",11
China,2018,多情的人總被無情的傷 (Brokenhearted),六哲,12
China,2018,許多年以後,RubberBand,13
China,2018,你瞞我瞞,Jason Chan,14
China,2018,再見只是陌生人,Ada Zhuang,15
China,2018,"欲言又止 - 劇集 ""溏心風暴3"" 片尾曲","HANA, Vincent Wong",16
China,2018,那些你很冒險的夢,JJ Lin,17
China,2018,背對背擁抱,JJ Lin,18
China,2016,有没有 - Live,Nathan Hartono,1
China,2016,无处安放 - Live,白若溪,2
China,2016,心有独钟 - Live,李佩玲,3
China,2016,天空之城 - Live,蒋敦豪,4
China,2016,十万毫升泪水 - Live,杨搏,5
China,2016,就是现在 - Live,刘雪婧,6
China,2016,找自己 - Live,吉克皓,7
China,2016,小幸运 - Live,白静晨,8
China,2016,寂寞有多长 - Live,苏立生,9
China,2016,我是不是该安静的走开 - Live,曾敏杰,10
China,2016,梦回唐朝 - Live,刘文天,11
China,2016,停格 - Live,郑迦文,12
China,2016,Bang Bang - Live,程思佳,13
China,2016,追梦赤子心 - Live,徐歌陽,14
China,2016,一起来 - Live,贾立贤,15
China,2016,恋曲1980 - Live,朴翔,16
China,2016,Kiss - Live,赵小熙,17
China,2016,过不去 - Live,王闯,18
China,2016,Diamonds - Live,杨美娜,19
China,2016,夏洛特烦恼 - Live,陈晨,20
China,2016,小雪 - Live,杨山,21
China,2016,在那遥远的地方 - Live,阿克江 阿依丁,22
China,2016,恼人的秋风 / Wake up call - Live,付豪,23
China,2016,大惊小怪 / Back in black - Live,吕俊哲,24
China,2016,冬季到台北来看雨 - Live,岳靖淇,25
China,2020,Bluebirds,Tanya Chua,1
China,2020,樂園Wonder,CoCo Lee,2
China,2020,DANCE TO THE MOONLIGHT,"TIA RAY, Nigel Tay",3
China,2020,房客,WeiBird,4
China,2020,午夜巴黎,A-Lin,5
China,2020,玫瑰花香,Julia Peng,6
China,2020,不介意,The Crane,7
China,2020,阿果,Tan Weiwei,8
China,2020,焚風,詹雯婷,9
China,2020,獨上C樓,"YELLOW黃宣, Mavis Fan",10
China,2020,什麼將把你帶走,Wanfang,11
China,2020,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,12
China,2020,都會愛情三角習題,HUSH,13
China,2020,沒有第三者的分手,LaLa Hsu,14
China,2020,無人知曉,Hebe Tien,15
China,2020,衣櫃歌手,HUSH,16
